SalesPrice,Cost
1036.99,903
2009.68,1750
1177.1,1025
3804.24,3312.68
98.76,86
91.87,80
5971.62,5200
3445.17,3000
1952.26,1700
360.35,313.79
110.84,96.52
3083.02,2684.65
1320.65,1150
6890.33,6000
114.84,100
3215.49,2800
976.13,850
976.13,850
57.42,50
2382.91,2075
114.84,100
4341.62,3780.62
120.01,104.5
447.93,390.05
106.01,92.31
106.01,92.31
106.01,92.31
106.01,92.31
106.01,92.31
106.01,92.31
4134.2,3600
788.35,686.48
197.4,171.89
197.09,171.62
1163.43,1013.1
568.45,495
96.46,84
1479.12,1288
344.52,300
48.23,42
85.04,74.05
106.29,92.56
261.35,227.58
17.23,15
118.26,102.98
936.26,815.28
250.84,218.43
358.33,312.03
53.74,46.8
574.19,500
200.97,175
114.84,100
1550.32,1350
215.01,187.23
895.85,780.09
17.91,15.6
89.59,78.01
3143.71,2737.5
320.55,279.13
229.68,200
45.94,40
57.42,50
564.32,491.4
815.36,710
241.16,210
171.11,149
175.7,153
213.6,186
199.82,174
210.16,183
79.24,69
79.24,69
178,155
124.03,108
203.26,177
107.95,94
158.48,138
189.48,165
199.82,174
172.26,150
237.72,207
977.3,1702.04
329.59,287
574.19,500
114.84,100
178,155
174.56,152
171.11,149
78.84,68.65
426.83,371.68
214.54,186.82
24.12,21
97.61,85
505.29,440
114.84,100
286.67,249.63
215.01,187.23
358.33,312.03
358.33,312.03
179.17,156.02
161.25,140.41
107.5,93.61
215.01,187.23
197.09,171.62
430,374.44
35.83,31.2
1148.39,1000
608.65,530
35.83,31.2
165.31,143.95
120.5,104.93
120.5,104.93
99.35,86.51
111.98,97.51
120.99,105.36
120.99,105.36
110.99,96.65
110.5,96.22
108.78,94.72
120.26,104.72
146.35,127.44
238.76,207.91
516.77,450
694.78,605
114.84,100
459.36,400
57.42,50
258.39,225
86.13,75
114.84,100
1032.13,898.76
86.13,75
114.84,100
97.61,85
716.67,624.07
114.84,100
91.87,80
106.86,93.05
112.32,97.81
107.5,93.61
1550.32,1350
775.16,675
229.68,200
660.32,575
112.54,98
689.03,600
849.81,740
947.42,825
114.84,100
360.59,314
167.22,145.61
585.68,510
2239.36,1950
2549.42,2220
1378.07,1200
86.13,75
29,25.25
273.43,238.1
344.52,300
1378.07,1200
2296.78,2000
746.45,650
269.87,235
80.39,70
97.61,85
488.07,425
51.68,45
424.9,370
459.36,400
321.55,280
459.36,400
229.68,200
229.68,200
277.91,242
114.84,100
918.71,800
861.29,750
344.52,300
534,465
1320.65,1150
344.52,300
298.58,260
264.13,230
57.42,50
1722.58,1500
57.42,50
350.26,305
1636.45,1425
172.26,150
107.5,93.61
4500,1913.2
3000,1925
2160,1069
7800,5364.62
3200,1800
3200,1841.89
1200,800
2200,1000
2450,1355
7000,3622.89
30000,15526.69
4200,2247.1
2010,1044.8
1480,764.1
13540,4949.95
1500,607.37
3000,1210
2260,1098.55
1830,888.05
430,100.2
1700,1025
7500,6150
432.75,8720.114
4000,2500
7000,4200
30000,20037.5
25000,20785
650,388.17
3000,2228
5850,4124
6440,4500
5500,3292
3000,1600
2860,2102.5
3640,2679
7000,5016
1560,1110.72
700,315
9136.21,40000.0104
3102.38,40000.1484
3700,2400
11900,8700
3700,1612.54
650,388
6440,4516.25
7560,4007.34
4200,2136.68
2160,1101.4
3200,1305
6300,3091.74
3420,1942.49
1800,880.11
4000,1892.19
4000,1655
4660,2179.4
4000,2118.66
4610,2155.11
1020,493.36
16000,6051.88
11900,5400
13500,4288.35
850,385
28000,5510
6000,2587.78
40000,20625
1600,601.67
30000,18500
2200,801.33
70000,35000
25500,17000
23000,12405
10000,6723.95
3200,1300
2030,986.73
4660,2269.47
2160,1052.51
2750,1565
14500,2028.2
4620,2250.18
13150,6326.69
3840,1801.75
13500,9500
14000,9010
10500,4399.23
7500,2329
12320,5756.84
3780,1841.89
3520,1568.3
11050,2000
3500,1756
2300,1118.29
6000,2500
4750,2417
2070,1118
5130,2499.7
2570,1249.85
3500,1822
60000,43850.34
130000,82735.5
1350,693
1260,648
1260,648
1225,630
2630,1352.58
